episode,participant,pair_id,mode,path_rmse_mm,normal_offset_median_mm,normal_offset_rmse_mm,orientation_rmse_deg,speed_median_mm_s,speed_p95_mm_s,accel_p95_mm_s2,force_median_n,force_p95_n,force_rate_p95_n_s,duration_s,end_reason
comparison_wk_wk-08_full_joint_0709_220514,wk,wk-08,full_joint,9.653712031175326,13.201851092668818,12.130372652412467,40.49572685277022,6.099028641278136,32.22622409002249,253.37305912723707,6.624627705099293,19.346415670583372,40.099679794708244,2.983179481001571,reached
comparison_wk_wk-09_darboux_0709_220635,wk,wk-09,darboux,1.9822426927399717,16.905150983811957,16.998125986193365,8.349068186303128,2.4694112152680585,10.875110345651528,115.9634284996362,3.640881937343913,6.176586746687944,3.3413986472134436,27.333384984000077,reached
comparison_wk_wk-09_full_joint_0709_220824,wk,wk-09,full_joint,13.345506180715523,18.396069261950313,19.33383942088031,45.86212418553838,4.803013666203611,27.196588919001893,193.06527222506293,3.0850775424206587,13.886445031148034,17.668015888077697,35.30966674299998,manual
comparison_wk_wk-10_darboux_0709_221244,wk,wk-10,darboux,3.1138257960266795,17.445312091960233,16.187172558740805,15.102583448792167,3.3041301583004707,14.052890112016625,132.5842524606918,3.640990097390933,9.660180360788829,6.423371713592243,18.856594954000684,reached
comparison_wk_wk-10_full_joint_0709_221344,wk,wk-10,full_joint,13.059096434583958,12.15008286408448,13.191949825588823,48.26940956642906,7.1691011371206725,23.631054364443717,203.226763625074,5.552395079054988,20.29600391772432,15.320243349148859,20.297824134999246,reached
comparison_wk_wk-11_darboux_0709_221514,wk,wk-11,darboux,1.9165683875402117,14.4012469101006,14.7060649429755,8.851178250419686,5.991879652750753,13.286508808070234,127.22503633516502,3.901313686990428,11.127872512691743,7.6747942148601425,12.53692464300002,reached
comparison_wk_wk-11_full_joint_0709_221652,wk,wk-11,full_joint,8.280783382934832,12.663312756252221,12.673649206798226,44.47186299552417,14.381550774036135,46.54208652562711,377.12368070837005,2.597492721135753,9.550845733027474,25.9940418370086,14.706228208999164,reached
comparison_wk_wk-12_darboux_0709_221941,wk,wk-12,darboux,2.0203416267062906,22.97398418104803,22.798127639457448,4.627789702286889,3.2411152780725443,11.567754216433617,114.63305596914749,5.798881147813583,11.248591456908239,4.65747534821673,14.615462118999858,reached
comparison_wk_wk-12_full_joint_0709_222059,wk,wk-12,full_joint,9.618071401272754,16.6479651619674,16.995763159526636,25.734854535253735,8.327616896357167,31.088307152795352,253.77212131047193,10.228882674609299,19.509268743219717,24.27255707289572,31.318802858999334,reached
comparison_wk_wk-13_darboux_0709_222407,wk,wk-13,darboux,6.28016519387354,11.707221828870903,12.330681866190439,11.478157455195685,5.244390563908519,13.971555792001572,125.62796255006927,3.1212367783592563,8.45927558420781,4.387493894875635,15.921863801000654,reached
comparison_wk_wk-13_full_joint_0709_222638,wk,wk-13,full_joint,3.8415573024877405,2.560253889408372,3.580674741316948,24.202656344020063,12.470911169548366,36.484566827466104,303.1881741649223,5.601545787496238,9.526756259794558,17.006707703018098,2.6296876430005796,reached
comparison_zy_zy-01_darboux_0709_164355,zy,zy-01,darboux,4.537013992927995,16.5861468599487,17.607032004597507,12.683408344384626,2.3279972725172873,20.076038294538915,132.03450860238382,5.212086274219963,14.641001033287584,8.754213165062163,30.598200006000297,reached
comparison_zy_zy-01_full_joint_0709_164619,zy,zy-01,full_joint,6.331772619411024,19.304138648998446,19.446075729746028,57.00116000261236,4.214978466669225,20.507508720381384,199.25818815530997,9.371104352758115,15.486381584817229,16.32642976505589,21.236117403999742,reached
comparison_zy_zy-02_darboux_0709_165034,zy,zy-02,darboux,8.764208075729073,19.562658949467217,20.287052039208355,7.624228918625793,2.6549216844200556,12.39635519116055,109.52768318811499,4.532003730886068,14.365175216681074,5.364512353109203,46.701642452000215,reached
comparison_zy_zy-02_full_joint_0709_165227,zy,zy-02,full_joint,5.174076448239319,15.299557425585844,14.711391624207229,44.93837625750792,5.771300912478388,31.401669691278453,246.8997533366555,6.790002172005523,15.567157843054138,24.264415485896293,12.22011558899976,reached
comparison_zy_zy-03_darboux_0709_165338,zy,zy-03,darboux,3.942656476604893,8.377576322916852,9.777019402783761,5.589861636358552,2.4816010492033147,10.644025944659445,98.62200549953128,5.264198485724615,10.434518704417465,3.2507144968383694,33.013747003999924,reached
comparison_zy_zy-03_full_joint_0709_165508,zy,zy-03,full_joint,19.01498912803225,9.774596086636965,10.968596099129241,40.056671265021684,11.523038286860055,45.3363575726181,368.7762654171165,1.6903963166481506,24.970266084764653,23.605586450948763,23.653201840000293,manual
comparison_zy_zy-04_darboux_0709_170232,zy,zy-04,darboux,6.464352546151723,23.668510272189142,23.797746861842125,10.30516435952618,2.14051487701112,8.682497893420031,100.54935753981056,4.5848633049938545,11.951901674080434,3.513234692920193,54.99620988000015,reached
comparison_zy_zy-04_full_joint_0709_170424,zy,zy-04,full_joint,10.242795535939232,21.16361684554021,21.00999080341067,31.861138492942118,12.854088288161233,38.480080694778735,340.63073550787783,6.699674258543137,25.894666749610938,38.76601872902529,24.342301575999954,reached
comparison_zy_zy-05_darboux_0709_170616,zy,zy-05,darboux,3.796499577653462,11.241616730181068,12.174476783942595,5.228018823449195,2.7842845095673336,7.8897259154701675,89.81435045609675,6.949950008406388,16.082963694050544,5.5216388826211045,30.260268239000652,reached
comparison_zy_zy-05_full_joint_0709_170735,zy,zy-05,full_joint,10.19401156282395,10.817275817301459,10.792954388295499,47.18629588327355,9.05837685849611,33.95891291677135,273.36918764253346,8.885197327415703,19.86108089439983,25.437675886419417,17.355389125999864,reached
comparison_zy_zy-06_darboux_0709_172147,zy,zy-06,darboux,4.43713211888997,17.68701828615247,18.13043272393296,11.007189373915487,2.169761708369291,12.479565033212683,110.36885191657164,5.835052888602814,7.782483841059546,3.7740506349682064,50.4961377059999,reached
comparison_zy_zy-06_full_joint_0709_172319,zy,zy-06,full_joint,5.361402318313162,15.685588513109705,15.355564762106871,41.08474128323868,5.884292385495934,38.14060251831336,312.19526422465464,7.743152376366111,26.685033387018517,24.514483275847702,17.929022739000175,reached
comparison_zy_zy-07_darboux_0709_172434,zy,zy-07,darboux,2.3052808718813167,12.733168150974638,13.550261032771504,4.664913866887415,2.6079623291414986,6.473659348128371,96.01765162974455,3.626169882584187,8.219341228460792,3.560233381383887,23.929648717999953,reached
comparison_zy_zy-07_full_joint_0709_172532,zy,zy-07,full_joint,8.510338886523982,14.191571418083425,15.140859714571507,38.34906446940208,7.289286610379594,22.359540952947658,190.45518110400502,1.050143880004832,13.73954589557523,17.338943259214904,21.16549160300019,reached
comparison_zy_zy-08_darboux_0709_172702,zy,zy-08,darboux,5.9086088462082715,8.613105769124559,10.433581822127096,9.551765145281207,4.18165318213882,12.378826843965038,106.21947184566955,3.713633781187883,11.960533521482313,6.139643517836808,20.29258237400063,reached
comparison_zy_zy-08_full_joint_0709_172804,zy,zy-08,full_joint,25.138675119587145,6.346254752472761,6.437570522770213,49.801841036491616,10.251068408918488,30.999170378867177,233.38820505710626,2.6315517777769255,10.703796632404199,25.97349387637277,14.536211028000253,manual
comparison_zy_zy-09_darboux_0709_173142,zy,zy-09,darboux,3.380195482719234,6.442296425112504,7.757401410318138,11.683709019077625,2.8007191020600817,18.60175002993511,127.45759795170345,3.918554905153407,8.576586322850133,4.2731595469695645,28.495425036000597,reached
comparison_zy_zy-09_full_joint_0709_173315,zy,zy-09,full_joint,14.445414833660875,3.4835794088719845,6.948231373948812,36.37053676702803,7.696280027052029,37.10622841947251,288.7502417350695,2.2832136757047357,17.035670444069144,32.152471965666024,20.21933840499969,reached
comparison_zy_zy-10_darboux_0709_173643,zy,zy-10,darboux,2.8868437662372566,14.363342709573713,14.511553653107116,12.549709898241366,2.196346027588744,10.87388457747061,108.14501031551438,2.8301922493264295,5.808543549909228,3.2365491181888686,26.847698949000005,reached
comparison_zy_zy-10_full_joint_0709_173803,zy,zy-10,full_joint,14.116361702824966,13.08288468292687,16.47483680481273,42.527649846260715,11.321266838231946,30.531352142937685,245.87583689913544,1.568109868569004,14.412186216090385,27.88838531308877,25.214219892000074,manual
comparison_zy_zy-11_darboux_0709_174530,zy,zy-11,darboux,6.528588703733579,11.591274560694979,11.894197415237198,4.065626209177781,2.6216603592953884,8.515886977670801,97.29935788928576,2.8279186059152766,6.316414264025161,3.2718857120518527,27.174893371000508,reached
comparison_zy_zy-11_full_joint_0709_174707,zy,zy-11,full_joint,27.308797351940438,6.369707007000848,19.036057532422284,58.71978360303363,15.499677449429036,61.30919740718964,386.6987856023132,12.397990856394632,49.55535243637562,158.53237326905483,14.230491688999791,manual
comparison_zy_zy-12_darboux_0709_175223,zy,zy-12,darboux,1.3253714640434813,9.996602659630508,11.706896295600176,4.642445855857024,3.2274770718983747,7.708009932214059,96.27917918486332,6.113328758076019,9.634594404027157,5.619781451659243,24.96529221899982,reached
comparison_zy_zy-12_full_joint_0709_175330,zy,zy-12,full_joint,14.001254061801975,11.870676042127506,13.288627176897396,50.81389107452304,10.988031767566875,35.25417622027273,275.4283383580571,1.131884765904457,15.047619864058799,22.157861552201698,16.503513857000144,reached
