ts_plus,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33,probe_visible
527.543,0.749366154335,0.479138618315,0.457030142525,0.117076932855,-0.248133050245,0.843118696458,-0.477054350214,-105.336818715,-0.613905820231,0.24408410051,0.750694742066,-760.537939711,0,0,0,1,1
527.603,0.74615777628,0.472769033591,0.468762214533,3.43430213815,-0.2457196656,0.849938221169,-0.466076030422,-106.177860229,-0.618765237254,0.232582159837,0.750356661923,-758.127497713,0,0,0,1,1
527.664,0.741869128352,0.471268948124,0.477007101554,6.06996506331,-0.242701543748,0.851858542117,-0.464147589549,-107.60563631,-0.62508092041,0.228566407759,0.74634525535,-756.289092199,0,0,0,1,1
527.725,0.735220799778,0.470993415712,0.487458283272,8.36073144255,-0.239311829292,0.853203422579,-0.463436908392,-108.957217035,-0.634176808102,0.224073920961,0.740007198621,-754.922725533,0,0,0,1,1
527.806,0.725517165227,0.468403946754,0.504204904405,11.8290620636,-0.231504221588,0.856051598156,-0.462148738699,-111.048474346,-0.648097707408,0.218571278898,0.729517619865,-753.51696607,0,0,0,1,1
527.846,0.721695809909,0.466900532992,0.511037229809,13.3685556228,-0.227733735506,0.857321549228,-0.461667745182,-112.007910132,-0.653676145864,0.216803259941,0.725054372311,-752.613654799,0,0,0,1,1
527.927,0.713451135787,0.465688622955,0.523566216724,16.085400858,-0.222260077802,0.859015180958,-0.461186921648,-114.236024992,-0.66452083087,0.212666464997,0.716369346082,-750.609086398,0,0,0,1,1
527.985,0.706543879351,0.465496728723,0.53301833186,18.0888396868,-0.217174101353,0.859485163741,-0.462731739792,-116.287433089,-0.673521459385,0.211182501305,0.708357815578,-749.73742015,0,0,0,1,1
528.043,0.699962660389,0.463915447987,0.542986860965,19.7766567581,-0.209211711756,0.860135334345,-0.465185625611,-118.281888215,-0.682848983104,0.212013357434,0.699119161906,-748.916636398,0,0,0,1,1
528.103,0.694815240251,0.461395650641,0.551675480228,21.0453835507,-0.200413042237,0.860913023126,-0.467614562554,-120.266889403,-0.690699930807,0.214342763306,0.690645195019,-748.002659857,0,0,0,1,1
528.164,0.689621036955,0.45899502134,0.560130695261,22.1987271092,-0.191536536497,0.861542251341,-0.470168804092,-123.106474365,-0.698381400508,0.216952804866,0.682051977408,-747.23389786,0,0,0,1,1
528.228,0.682601299183,0.461482345055,0.566647607915,23.1953889772,-0.187663531089,0.860079293978,-0.474390142361,-126.617911971,-0.706284549918,0.217480236511,0.673694649878,-746.370524361,0,0,0,1,1
528.291,0.673870818474,0.461280381815,0.577164213514,24.8610119411,-0.180360473967,0.860234500288,-0.476934695682,-129.95017352,-0.716497187321,0.217294762632,0.662883675085,-745.303009462,0,0,0,1,1
528.37,0.667467639854,0.450012439484,0.593275445352,27.9155346603,-0.164695669611,0.866214006988,-0.471750602023,-133.401913201,-0.726197140011,0.217168364196,0.652284918906,-743.764446199,0,0,0,1,1
528.431,0.669112314779,0.439170921774,0.599514479958,30.0876776763,-0.155979929555,0.87173130858,-0.464494119681,-135.959927127,-0.726607852825,0.21728650927,0.65178800319,-742.06185345,0,0,0,1,1
528.47,0.669741150131,0.435120006601,0.601761889518,31.0308853884,-0.152512950294,0.87367294727,-0.461990672201,-137.318165322,-0.726764467908,0.217637683005,0.651496160482,-741.200770113,0,0,0,1,1
528.528,0.666903182584,0.432133248551,0.607042832555,32.7578461962,-0.144038860792,0.874061086204,-0.463972007955,-140.346649565,-0.73109024863,0.221986650682,0.645158100993,-740.489188772,0,0,0,1,1
528.607,0.661229253205,0.426273257475,0.617306232487,35.1917037236,-0.13138186451,0.875957701417,-0.464151818919,-143.810108655,-0.738589656293,0.2258079168,0.635213432105,-739.577480331,0,0,0,1,1
528.666,0.656197161568,0.417870894874,0.628322528935,37.2807235718,-0.116240908589,0.878706686544,-0.462993099509,-146.277053833,-0.745582548294,0.230777976073,0.625178526054,-739.03717041,0,0,0,1,1
528.727,0.653877755485,0.410548347857,0.635526502165,38.6320737277,-0.105002428027,0.881089205196,-0.461146725668,-148.441822338,-0.749278567017,0.234801760126,0.619233205223,-738.313804022,0,0,0,1,1
528.786,0.653100121812,0.404681752361,0.640072581975,39.8581508947,-0.0955464692751,0.882516076729,-0.460473936856,-151.079746029,-0.75121974355,0.239578908964,0.615037269831,-737.819162129,0,0,0,1,1
